golden_delicious_iconic	Golden Delicious has a white juicy pulp and a greenish yellow shell. The taste is mellow and sweet, making Golden Delicious suitable for desserts.	Apple Golden Delicious Class 1	Italy, ca 180g	Golden Delicious has a white juicy pulp and a greenish yellow shell. The taste is mellow and sweet, making Golden Delicious suitable for desserts.	https://www.hemkop.se/produkt/apple-Golden-Delicious-Klass-1-100142141_KG
granny_smith_iconic	Granny Smith is a green apple with white, firm pulp and a clear acidity in the flavor.	Apple Granny Smith Class 1	Italy, ca 180g	Granny Smith is a green apple with white, firm pulp and a clear acidity in the flavor.	https://www.hemkop.se/produkt/apple-Granny-Smith-Klass-1-100142221_KG
pink_lady_iconic	Pink Lady reminds of Royal Gala, though it is an even sweeter and crispier apple.	Apple Pink Lady Klass 1	Italy, ca 180g	Pink Lady reminds of Royal Gala, though it is an even sweeter and crispier apple.	https://www.hemkop.se/produkt/apple-Pink-Lady-Klass-1-100144318_KG
red_delicious_iconic	Red Delicious is a dark red apple with relatively soft pulp and sweet taste.	Apple Red Delicious Klass 1	Italy, ca 160g	Red Delicious is a dark red apple with relatively soft pulp and sweet taste.	https://www.hemkop.se/produkt/apple-Red-Delicious-Klass-1-100144336_KG
royal_gala_iconic	Royal Gala is a crispy and very juicy apple, with yellow-white pulp. The peel is thin with a red yellow speckled color.	Apple Royal Gala Klass 1	Argentina, ca 180g	Royal Gala is a crispy and very juicy apple, with yellow-white pulp. The peel is thin with a red yellow speckled color.	https://www.hemkop.se/produkt/apple-Royal-Gala-Klass-1-100144504_KG
cantaloupe_iconic	The cantaloupe melon is a rather small and all round sugar melon, with a greenish yellow mesh patterned shell. The pulp is orange colored with juicy and sweet taste.	Melon Cantaloupe Class 1	Spain, ca 1.05kg	The cantaloupe melon is a rather small and all round sugar melon, with a greenish yellow mesh patterned shell. The pulp is orange colored with juicy and sweet taste.	https://www.hemkop.se/produkt/Melon-Cantaloupe-Klass-1-100256107_KG
galia_melon_iconic	Galia melon is a small round sugar melon with a yellowish green, orange, or light brown mesh patterned shell. The pulp is firm and juicy, with a cream white to yellowish green color and a sweet, rich flavor.	Galia melon Class 1	Spain, ca 1.01kg	Galia melon is a small round sugar melon with a yellowish green, orange, or light brown mesh patterned shell. The pulp is firm and juicy, with a cream white to yellowish green color and a sweet, rich flavor.	https://www.hemkop.se/produkt/Galiamelon-Klass-1-101242324_KG
honeydew_melon_iconic	Honeydew melon is an oval shaped sugarmelon, with a yellow shell. The pulp is creamy light yellow with juicy, sweet and fresh taste, which is milder than other melons.	Honeydew melon Class 1	Spain, ca 1.2kg	Honeydew melon is an oval shaped sugarmelon, with a yellow shell. The pulp is creamy light yellow with juicy, sweet and fresh taste, which is milder than other melons.	https://www.hemkop.se/produkt/Honungsmelon-Klass-1-100256170_KG
watermelon_iconic	Water melon juicier than sugar melons, and has a round peel with light green base color, with long-tied dark green stripes. The pulp is very juicy, mild and sweet, and occurs with and without kernels.	Water melon Class 1	Spain, ca 3kg	Water melon juicier than sugar melons, and has a round peel with light green base color, with long-tied dark green stripes. The pulp is very juicy, mild and sweet, and occurs with and without kernels.	https://www.hemkop.se/produkt/Melon-Vatten-Klass-1-101273856_KG
anjou_iconic	Anjou pear is a classic pear shaped with rounded stalk with a thin yellowish green shell. The pulp is juicy and has a sweet, nice taste. Anjou is an excellent table fruit that also fits in pastries, then rather unripe.	Pear Anjou	Argentina, ca 170g	Anjou pear is a classic pear shaped with rounded stalk with a thin yellowish green shell. The pulp is juicy and has a sweet, nice taste. Anjou is an excellent table fruit that also fits in pastries, then rather unripe.	https://www.hemkop.se/produkt/Paron-Anjou-100139253_KG
conference_iconic	Conference is a medium sized pear with long-tapered bottle like shape and a rounded base. To the color, the Conference pear is light greenish yellow with gold brown spots. Pears taste the most when they are really ripe. Suitable for desserts, cheese tray or to eat as it is.	Pear Conference Class 1	The Netherlands, ca 200g	Conference is a medium sized pear with long-tapered bottle like shape and a rounded base. To the color, the Conference pear is light greenish yellow with gold brown spots. Pears taste the most when they are really ripe. Suitable for desserts, cheese tray or to eat as it is.	https://www.hemkop.se/produkt/Paron-Conference-Klass-1-100139342_KG
kaiser_iconic	The Kaiser Pear is drip-shaped with matte, medium-thick, flaming yellow-brown or brownish shell. The yellowish white pulp is crispy, juicy and sweet, with some fresh acid. Kaiser pears match very well with dessert cheeses and wine, but it is also good to cook, as it retains its shape well.	Pear Bosc-kaiser Class 1	Italy, ca 150g	The Kaiser Pear is drip-shaped with matte, medium-thick, flaming yellow-brown or brownish shell. The yellowish white pulp is crispy, juicy and sweet, with some fresh acid. Kaiser pears match very well with dessert cheeses and wine, but it is also good to cook, as it retains its shape well.	https://www.hemkop.se/produkt/Paron-Bosc-kaiser-Klass-1-100129754_KG
bravo_apple_juice_iconic	Ready to drink apple juice from concentrate. Fresh and sour taste. Fits the breakfast table, as quencher and meal drink.	Äpple Juice	Sweden, BRAVO , 2l	Äpplejuice. Juice från koncentrat. 2 liter motsvarar juice från ca 3 kg äpple.	https://www.hemkop.se/produkt/apple-Juice-100972967_ST
bravo_orange_juice_iconic	Ready to drink orange juice from concentrate. Fresh and sour taste. Fits the breakfast table, as quencher and meal drink. Without pulp.	Apelsinjuice Drickfärdig Juice	Sweden, BRAVO , 2l	Apelsinjuice. Juice från koncentrat. 2 liter motsvarar juice från ca 4 kg apelsiner.	https://www.hemkop.se/produkt/Apelsinjuice-Drickfardig-Juice-100972930_ST
god_morgon_apple_juice_iconic	God Morning Apple is unfiltered, which gives a richer, more delicious juice with real apple flavor.	Äpple Juice med Fruktkött Från Koncentrat	Denmark, GOD MORGON , 1l	Ofiltrerad äppeljuice från koncentrat, äppelpuré och C-vitamin. Pastöriserad.	https://www.hemkop.se/produkt/apple-Juice-med-Fruktkott-Fran-Koncentrat-101146350_ST
god_morgon_orange_juice_iconic	God Morgon Orange is pressed by sun-dried, hand-picked oranges. The package contains juice from 2 kilograms of oranges!	Apelsinjuice	Denmark, GOD MORGON , 1l	Apelsinjuice från koncentrat med fruktkött (5,5%). Pastöriserad.	https://www.hemkop.se/produkt/Apelsinjuice-100985864_ST
god_morgon_orange_red_grapefruit_juice_iconic	God Morning Orange / Red Grapefruit is a fresh blend of sweet orange juice and tasty fresh red grapefruit.	Apelsin Blodgrape Juice med Fruktkött	Denmark, GOD MORGON , 1l	Apelsin- (57 %) och röd grapejuice (38%) från koncentrat, fruktkött från apelsin och röd grapefrukt(5%). Pastöriserad.	https://www.hemkop.se/produkt/Apelsin-Blodgrape-Juice-med-Fruktkott-100985828_ST
god_morgon_red_grapefruit_juice_iconic	God Morning Red Grapefruit is a real vitamin kick - mellow, rich in taste and as refreshing as only red grapefruit can be.	Blodgrape Juice med Fruktkött	Denmark, GOD MORGON , 1l	Juice av röd grape med (3,5%) fruktkött från koncentrat. Pastöriserad.	https://www.hemkop.se/produkt/Blodgrape-Juice-med-Fruktkott-100985640_ST
tropicana_apple_juice_iconic	Tropicana Apple is a ready to drink juice with pulp pressed on apples. Not from concentrate. Mildly pasteurized.	Äpple Färskpressad Juice	Sverige, TROPICANA , 1l	Äpple-/ Eple-/ Æblejuice, antioxidant: askorbinsyra/ askorbinsyre (Vitamin C).	https://www.hemkop.se/produkt/apple-Farskpressad-Juice-100985702_ST
tropicana_golden_grapefruit_iconic	Tropicana Golden Grape is a ready to drink juice with pulp pressed on grapefruit. Not from concentrate. Mildly pasteurized.	Golden Grapefruit Färskpressad Juice	Sverige, TROPICANA , 1l	Ingredienser/ Ainesosat: Grapefruktjuice med fruktkött/fruktkjøtt / frugtkød/ Greippitäysmehua (Sisältää hedelmälihaa).	https://www.hemkop.se/produkt/Golden-Grapefruit-Farskpressad-Juice-100985739_ST
